Sample Name	Number of Mutations	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-BR-4253-01A-01D-1126-08	95	0.37909032257189457	0.01338455262131036	0.012622713511918508	6.834672772677184e-10	2.4357753217793244e-10	1.2831134717136868e-06	2.729973243227633e-10	7.430486760957615e-11	5.727244622104371e-13	2.797056603554926e-10	5.89445404653079e-09	8.206743249311546e-11	0.05796509648530435	1.5844252968148886e-09	0.11139286834466396	1.1973699006937403e-10	0.20015155369128065	2.882431463809808e-10	2.4565456098233914e-09	0.007370102604584071	1.1033616831571109e-10	4.6977591325213154e-11	0.04232022425522782	0.03566790266309141	7.404324205520781e-12	7.418955309820144e-12	2.8634710150625913e-14	1.2462875160391117e-10	1.5816386875563872e-09	0.14003336627872154
TCGA-BR-6455-01A-11D-1800-08	110	0.7025374869448189	0.003290114470537412	9.27114678528438e-10	1.1745651602390023e-10	5.346311503372228e-13	0.05319213286983362	1.4704884782104061e-09	1.2745474267678718e-10	4.049401319930858e-10	5.613506949370905e-11	0.029088614127380792	2.964661685737247e-13	1.4831816682196203e-10	8.337988119575789e-11	0.014081276433123218	3.942987547605694e-12	0.011267209270177193	2.690904635896224e-10	1.2122077150407097e-10	3.754671653054839e-09	1.0394371817235553e-10	0.009733486308795166	0.09939944848693737	0.055028091977422644	1.7751328953375193e-09	5.798962782051437e-12	4.101337974047115e-10	3.672837132204193e-10	0.02238212758892235	1.3747133878561262e-09
TCGA-BR-6706-01A-11D-1882-08	217	0.13545095821644906	1.6705549743853638e-12	5.359520204938138e-12	7.790425658750439e-09	7.858448236687868e-10	0.02717121978806989	3.829374077330018e-09	6.543505903146107e-10	7.982429644819272e-12	4.893034584726713e-10	2.78752130352427e-12	2.3212191566204494e-11	7.371497142594203e-11	2.0758105828552553e-10	0.008902263335111623	6.351288789931827e-16	0.7929145204286475	7.579591246835278e-11	1.0385746288472315e-08	7.328310088123059e-10	0.026263290707522886	0.005583538481018373	0.0014195610481844007	0.0022946123641303983	3.4164185623133203e-10	2.201933631805303e-10	1.8074075463879984e-12	9.93277211980294e-09	1.6808685103520095e-11	5.1661747474455205e-11
TCGA-BR-6707-01A-11D-1882-08	79	0.8816172662453399	0.027829672376660026	3.8176369941841115e-11	1.4894801315761293e-08	9.36993056944883e-16	7.735983930171968e-10	0.0025282820629539005	8.033056881614032e-10	5.494576515408872e-10	1.4516028871198835e-09	1.5324550269904288e-10	1.8240425390154738e-11	7.577765417684584e-11	2.464697905115877e-10	8.61974789201253e-11	7.516259038162491e-10	1.44528602022504e-10	0.018115246535490584	3.60923725791844e-11	5.0570799420141656e-11	0.03555597745815447	1.5404847298830927e-10	7.173757638660979e-09	0.03435352057330546	5.0225093476407645e-11	9.209894735718404e-11	8.869237709039968e-11	4.1396986233404066e-11	7.579937527430642e-11	6.998384974395101e-09
TCGA-BR-7196-01A-11D-2053-08	72	0.35529622311616477	1.2595733694046703e-11	0.16582191185611186	0.09526945814500305	1.0961818343454193e-10	9.065913133008695e-11	4.774351507060856e-10	1.1020439258800482e-10	1.366646250503176e-12	4.605333206691083e-15	0.09682067603331289	3.6023429465116606e-10	0.047572381477705095	4.72400343399349e-13	0.08527637165393855	1.036698949677547e-10	0.10407367047372622	1.317472628701514e-10	3.52899625655001e-13	7.404190438920941e-11	3.8921037892128285e-11	0.03239012787639302	0.01747917762649316	2.740016566266446e-13	6.397272925142143e-13	2.4605921394363918e-11	4.038879205981236e-11	2.8145895005061295e-11	4.4492557130544806e-11	9.128098142479149e-11
TCGA-BR-7958-01A-21D-2340-08	199	0.26241264532355213	0.03791346779575594	0.3468174897414919	1.1505946172719102e-11	1.744985852203848e-10	0.048096318571045474	0.029297278129663578	5.600977235605893e-11	1.5473187862126948e-09	1.1270063307835484e-11	0.010050353888647924	2.582832169746554e-10	5.848766268031462e-08	0.016088468465967946	2.6403326671026594e-08	2.8851179632799346e-09	0.19145846704331496	0.025677420583261855	8.087997593328616e-10	3.041476516453532e-10	1.5589086380789937e-10	8.475788165188114e-10	1.3323550962169285e-10	1.3792538731428674e-09	3.059150920561334e-08	6.813236810461942e-10	1.5531502393496087e-11	4.92716554534633e-09	2.7378359468394313e-10	0.03218796050408472
TCGA-BR-8366-01A-11D-2340-08	207	0.16365841816870594	1.7168312992984199e-09	1.893234098650065e-10	2.4150206872535637e-07	2.300927965610112e-10	0.15279310209591732	0.05338716221556378	8.831280521200692e-14	6.769469100788156e-11	0.012651485678724114	0.026362302369763047	0.014827354563660777	0.0016057821877233079	3.70519694322583e-09	0.0025436173382104538	6.681747535995315e-09	0.32604274306214054	4.3355104972375506e-11	1.1946814931894472e-09	1.8393959662105038e-08	3.550649919111245e-10	0.010813878591142382	2.845854273018295e-09	0.012977931935915342	1.8758254433556906e-10	3.3127340820407635e-10	1.2816965102527424e-10	0.22233592419951223	4.904030685844538e-09	1.511600502512948e-08
TCGA-BR-8381-01A-11D-2394-08	147	0.6439035980682464	0.030792215382436094	0.14890741748821562	4.413033770285557e-10	4.553836994540458e-09	8.890252983787769e-16	0.036877611853748965	6.9643217489198414e-09	1.396260663319755e-10	2.677813094706346e-08	3.173920395061752e-10	1.1604580285132825e-09	1.6807624673206334e-11	6.333475739664436e-11	0.05275594021629649	4.332747431912849e-08	0.030022053087241714	0.05674106383689158	4.336725262119401e-09	2.001127923026932e-14	4.03601190206988e-11	4.791606291165871e-10	1.956976889438451e-09	1.2470759880283328e-09	3.150616066201982e-09	2.0061124221418676e-12	2.287787169281009e-11	2.238692898100708e-09	1.1680195083990444e-09	1.6617050303502984e-09
TCGA-BR-8676-01A-11D-2394-08	93	0.5252924107195138	0.018405747116014816	0.030371765614865653	1.4089201835301605e-09	3.4326931567791643e-10	1.9520842675749243e-09	0.050519175633347374	2.3438495611262143e-09	2.2116716015342204e-09	0.023407040804406504	2.784630840479744e-08	1.817326775667326e-16	0.004361008111842182	7.215537618011001e-11	0.01739276201030686	1.128857708556055e-10	0.16029314901899155	2.0885403781862922e-10	5.5152836289517e-11	1.110372027002276e-11	7.34883370487315e-11	3.82570979534675e-12	7.856664450386457e-14	0.13273523747181698	0.03722166518118712	1.6467392024077815e-11	1.6510467538110927e-10	1.4961188708096296e-10	7.841650274378768e-10	5.587099639487441e-10
TCGA-BR-8686-01A-11D-2394-08	124	0.6011876568786378	0.0635070875454678	0.031191497374342105	1.447489201233007e-09	6.437796064390391e-11	5.01326004029835e-10	6.947041587785287e-10	1.0392118222531974e-08	7.188228706897876e-15	1.4230360465203616e-10	9.971239554502364e-12	2.726058058425938e-13	1.1115260414081826e-10	1.1707815061541274e-10	0.004264267802078854	5.465731377131828e-10	0.032791708533934504	0.25084388092652227	2.98300438197014e-10	2.844543137778236e-11	9.318674518720719e-10	1.927722902095724e-12	1.4922865642685907e-09	0.01621387513454295	1.1202864734136156e-09	2.859407014190094e-10	3.165183268886016e-11	1.4110853717842782e-09	5.12720235183501e-09	1.048105376232421e-09
