Sample Name	Number of Mutations	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-BR-A4PE-01A-31D-A25D-08	248	0.6141805677073384	0.0029576774606538997	0.005145625705201117	0.023837563102892572	8.603417836506683e-11	1.1344895984196422e-07	0.02220693847551203	5.21113093699633e-10	0.014288912033512942	1.6688256154463595e-10	2.5197254282737625e-08	4.789974183634325e-12	0.010881207162873666	2.3069953633406843e-09	0.028218971774360113	1.7757912935038234e-10	0.13140257581449738	2.7313104298071235e-07	3.799009714238764e-11	1.0327057834192604e-13	1.490009966780437e-11	2.2343189003674472e-10	0.027851466624449647	0.03618827848795212	0.021984023706514217	1.0870648377070827e-10	2.5734604829740735e-10	4.8667677836863026e-14	0.06085570112028773	7.514077631744737e-08
TCGA-BR-8296-01A-11D-2340-08	89	0.763331018596243	0.017852483474540624	0.026873581307527726	6.86733285703529e-09	3.7033133239563694e-10	2.1967824545958837e-10	3.123781346108494e-12	4.812662517790169e-12	2.1387370134969778e-11	2.9070534857681114e-10	2.3995545312665368e-11	4.027676591650979e-11	0.13352980280122728	5.275094075229211e-10	1.5869741468544394e-10	5.0869600733860354e-11	3.3062119580679487e-11	8.300336676109861e-12	5.980226224500476e-11	3.7743126976319234e-10	3.724432682322878e-11	1.033902956728612e-10	2.6636207487925825e-15	0.03781824223812678	4.041911136171627e-11	7.063288815796747e-16	0.020594837253089453	3.7949853582579236e-15	2.5083105213750992e-08	7.762862601253997e-12
TCGA-VQ-A91Z-01A-11D-A410-08	159	0.46833551259188444	0.04437923732579363	0.10412459845784643	6.65601336727182e-09	1.0604385860051099e-10	1.1716622841875304e-10	0.0563220414557537	1.3554794494275563e-09	1.0113884641691208e-11	1.6857894078217065e-10	7.833635976118919e-11	1.7139427978675688e-12	2.074774640779454e-10	3.933370910207233e-10	2.5759620058118156e-11	6.685991870938474e-11	0.06563845703255242	0.16157709688302882	5.627126133451284e-08	0.05228867753237847	2.708818294758434e-10	0.002395646357170818	4.513977264555371e-10	1.1488320115256867e-10	7.501777408238403e-09	6.799220751853042e-11	5.57225732621483e-09	0.04493865088410748	1.4190491707404201e-09	6.231034417413329e-10
TCGA-HU-A4G9-01A-11D-A24D-08	811	0.28327283455786034	3.267308121653097e-11	2.7907986774606153e-10	8.896630577032329e-13	9.450552559972271e-10	0.6775996826821913	2.7831634778697052e-12	5.1577804708741e-11	4.2847982380908456e-11	9.611660344008521e-12	1.4099844302461014e-10	1.913854384835378e-09	2.402981040412174e-13	1.17548637542065e-10	2.373589197428587e-10	2.6894121191821067e-14	0.005383972476468911	2.6124465216051034e-11	8.621322398101899e-13	2.8940278934245934e-05	9.201402947638821e-10	1.7312891612201302e-09	4.868850922438019e-13	5.439470292610376e-12	2.8278253247276646e-10	0.03251206193463246	0.0012025011968282175	3.550927402995692e-12	1.251261556149648e-10	2.7363118432810602e-12
TCGA-CG-4440-01A-01D-1158-08	137	0.2928503637666515	0.0984775749238982	0.12992988164246908	0.06558244551384768	1.3980791640379508e-10	0.13288383459656422	1.5024583461920237e-10	9.793522873221546e-10	1.520068136918809e-11	0.08595099319035832	1.3279192099201696e-10	2.1313934984246493e-10	0.015274610348838988	1.513800636619101e-11	4.73145662480447e-08	3.152180426654951e-12	0.12776639441279927	0.001424575068980563	1.7965663583168782e-11	1.7410903492744393e-09	4.699018644891003e-11	9.919394608940227e-11	9.016393286919609e-11	3.15748237278965e-09	7.263124311086199e-09	5.265258219605996e-11	8.85862428022307e-11	0.04985926444886838	1.1653221108340395e-10	4.495473657327639e-10
TCGA-CG-5718-01A-11D-1600-08	91	0.5018764205082296	0.01932328569313962	1.8615438159678776e-08	0.07571727647327067	1.9799680441361427e-13	9.193537092505027e-10	0.1920509495870889	4.169520306701314e-09	0.023151322680758615	6.1659744948522e-10	1.1198255215310987e-11	3.1121965362938173e-10	0.03333357727094078	2.739741758342923e-11	0.030716560710885403	2.52942080432064e-10	6.239540892753155e-11	7.389622955128216e-10	8.624951247973563e-10	1.2144972796956639e-09	4.754068005294402e-12	0.038210716037523414	1.3602850300176813e-14	0.019950286483003964	0.008001029207099213	1.6554619061481564e-12	5.020028090552739e-12	4.4366851345470983e-13	0.05766854753101181	2.946351215309244e-12
TCGA-BR-A4PD-01A-11D-A25D-08	179	0.1458241976843412	0.036488782310534845	0.06580685127226552	1.163417214048145e-10	1.5171907429953134e-10	7.794723649080439e-10	8.59653247208443e-08	2.2593136865842024e-10	5.065482380979528e-10	7.077427347538088e-09	0.008994786025792992	0.000780047999190149	0.011607531254774088	0.0009804737059578602	0.038762157974082535	5.866240622018169e-10	0.5240026922472625	1.0001017580395848e-08	2.421059954216962e-09	1.1628126987461554e-09	0.0443292049662073	3.0552965327572474e-12	1.886968379435668e-10	0.07401300228679647	3.932646473615291e-09	0.013964531203041327	3.338339861692489e-14	1.811914923077803e-10	6.257026880411581e-09	0.03444562151282361
TCGA-BR-8081-01A-11D-2340-08	995	0.23080916899278242	1.0016556711708195e-12	1.1450764443943114e-11	3.679204945073283e-10	2.7449961524487516e-10	0.7427054847770678	2.2199835439669933e-10	1.7148246240912818e-11	9.56716869263162e-10	7.272412728233854e-10	2.0049679173772488e-11	3.5190254653267283e-10	8.379567637460441e-10	4.932617335910348e-08	0.005746063399915106	8.604810567650699e-11	0.006524404314930561	7.740455702506233e-11	1.0249111641017419e-09	1.8370143322023667e-08	0.00972718173227932	0.004484779605198214	5.155935076396662e-10	2.839562462426967e-06	4.2889490120087353e-10	3.735247218871708e-10	3.0517216982051096e-11	3.6529598511749555e-10	3.1404602820144203e-09	8.851051735391584e-11
TCGA-CD-8526-01A-11D-2340-08	55	0.4451776277192106	3.8692224385781356e-15	0.04649158918206697	2.0548382016384306e-08	7.104085136790015e-11	0.18765377499868766	5.932849380323241e-10	2.760843508501838e-10	9.850441532767414e-12	5.636163941833176e-10	0.06844099583574101	8.16441474196202e-16	0.07382371578791175	2.510506739801428e-09	1.855173898754189e-11	2.749357635479135e-17	2.645663585643641e-11	0.06667785650836813	5.7201015709702785e-11	2.750285264553672e-10	0.0025479987025608356	0.013241258724383923	6.863313830477265e-12	0.0959451561034357	7.129956610695445e-12	9.03751540575877e-16	9.660855642363292e-12	7.355764083196443e-11	1.2477021501676302e-09	1.4271009740421242e-10
TCGA-BR-8295-01A-11D-2340-08	57	0.3251101890989693	1.0962223501481993e-08	0.31513020872983516	6.954595054711725e-08	1.338385788545085e-06	5.646149337548634e-06	1.2651126311556657e-07	3.387683974309722e-07	5.9150687418052e-12	3.314247836423495e-07	1.0941534660288258e-07	2.7123878218882653e-07	0.06066819442173755	2.8868568784494436e-09	0.06651377028324311	2.7629430233331354e-07	0.22498904637572076	1.0717359430549096e-07	4.146600979176198e-08	2.647818084026633e-08	8.585581512799178e-09	4.429740031414498e-08	5.013603520420425e-09	5.549191643073505e-08	0.007561063558288427	1.750677250873184e-08	4.623424744031396e-08	1.854901481564863e-05	1.0467466801063862e-07	6.468019861616066e-12
TCGA-BR-6705-01A-12D-1882-08	107	0.509045266285882	0.036913831911859395	0.1433857574092992	8.651940741989352e-12	3.0863522939707376e-11	0.026778569057504562	1.0492882857500312e-12	2.2456066427677558e-10	4.034906996677613e-10	7.936762924611304e-11	7.100635764260609e-12	1.0382982595732606e-11	0.0025605651866368096	4.619199063544328e-11	1.0605554753499649e-10	1.770944237939709e-11	0.2040999543898532	3.8135348499846296e-11	2.2978677303356816e-10	8.894774855187658e-12	7.156366367851756e-08	0.009734360075364299	1.0644153521194703e-09	0.06748162047710904	3.963649987553987e-12	9.317269904259538e-12	4.191523561840155e-12	7.163642995774358e-10	2.0858405351209826e-10	4.2375035327370047e-10
TCGA-IN-A6RN-01A-12D-A33T-08	138	0.24548085007772283	0.07860955539446497	0.3280590438980564	0.1619944091972697	5.661403015936004e-11	0.03562041283060598	4.527114359475315e-12	1.388980424541674e-10	5.228693965325414e-10	1.614075681848218e-09	2.266542398648403e-11	1.1385458660688727e-10	0.049049995229934064	1.025262069348108e-10	6.606806380515482e-10	3.424099718961616e-09	0.03464463669185804	1.1012324067083539e-08	1.832843967588882e-08	1.0174139219519146e-10	8.014370865063012e-11	0.02862205439143682	0.037918989653672366	3.4203187933237804e-10	7.490361302607464e-09	5.042590225117365e-10	1.1104482139916845e-12	2.072180825991913e-10	6.576698106421106e-09	1.3298406081303612e-09
TCGA-CG-4301-01A-01D-1158-08	55	0.5725417388694878	3.819210832401218e-14	0.010416018676191633	1.6644498620031436e-09	0.08515829646493411	8.903790432724343e-09	0.0015256953263384073	0.02131313557919639	1.3666790870826036e-09	4.800285908765873e-10	3.3875175604182814e-10	4.5507618742502675e-10	0.06822750497768564	8.797682773109839e-11	3.423234003527581e-09	3.5256665569843272e-09	5.436701665366162e-10	0.021751540579074115	6.156744144278792e-10	7.963882512009052e-10	1.5732273619360456e-09	3.847861126700841e-08	2.8314095785395953e-15	5.048988428441947e-11	1.692535769459769e-09	5.795319594754804e-15	0.05784578344957411	0.027564915055886208	1.9140745931638225e-14	0.13365530702531533
TCGA-BR-4371-01A-01D-1158-08	180	0.8369506911943373	0.04465790561336495	1.2780344150690368e-10	3.1508597533442525e-10	2.7605154388730098e-12	1.992219625038963e-09	2.2774802040636926e-09	1.6164584339991467e-11	3.052865003886687e-11	0.013601908064928643	3.751603021413737e-12	2.930208766629454e-10	0.0031790236183538915	2.6355095808279337e-10	4.2160682369571465e-09	8.599807581421284e-13	0.05912769781581575	9.608441044867701e-11	1.1484074275627914e-10	3.876310028464769e-11	2.3427549211510216e-11	0.0030403381794602436	1.8373193242370158e-10	0.03944242209540721	4.722966749641775e-11	1.1029650160509062e-10	2.5707809851736784e-11	6.37919716203541e-10	4.787143097428365e-10	2.1223214428711637e-09
TCGA-BR-8366-01A-11D-2340-08	207	0.16365841816870594	1.7168312992984199e-09	1.893234098650065e-10	2.4150206872535637e-07	2.300927965610112e-10	0.15279310209591732	0.05338716221556378	8.831280521200692e-14	6.769469100788156e-11	0.012651485678724114	0.026362302369763047	0.014827354563660777	0.0016057821877233079	3.70519694322583e-09	0.0025436173382104538	6.681747535995315e-09	0.32604274306214054	4.3355104972375506e-11	1.1946814931894472e-09	1.8393959662105038e-08	3.550649919111245e-10	0.010813878591142382	2.845854273018295e-09	0.012977931935915342	1.8758254433556906e-10	3.3127340820407635e-10	1.2816965102527424e-10	0.22233592419951223	4.904030685844538e-09	1.511600502512948e-08
TCGA-IN-A7NT-01A-21D-A34U-08	130	0.28439621591758	0.031218858148025858	2.515216169730262e-10	2.532418299590441e-09	3.63051360739374e-09	0.14432025429071782	2.555809435795946e-10	1.5711746872767701e-09	0.04086966436458317	5.459904489805312e-10	6.901327549452034e-10	3.138268973065381e-10	0.05676831674830577	3.960503255229756e-08	0.008165747721326817	8.48536561937254e-12	0.2787915229954193	0.03662946341363765	0.04458251691432991	3.278748639689562e-09	3.558699020328928e-10	2.4685581392219083e-10	0.04430400415617254	0.0235981357000085	1.2279505292223524e-10	4.796564501810458e-11	0.006355240880865965	6.136990283668934e-10	8.432650825827767e-10	3.835150350675832e-09
TCGA-CD-5803-01A-11D-1600-08	36	0.38743387864666373	0.07385670206105316	0.07129408902780744	2.367133827885171e-07	4.5490866757641627e-07	1.3063461823008458e-08	1.6254396211773652e-07	0.12652955715054562	4.635164516084909e-11	6.92320636750553e-08	3.9400190961927186e-08	7.956383402289454e-07	0.02245506985822216	9.331568220314191e-08	3.386633804261311e-08	0.03136866133340052	0.05571183104926694	9.653718646251917e-07	6.373402093624496e-09	2.097350370672347e-09	1.0327353225365234e-08	0.0888533629501584	2.9639186927717524e-09	0.06592002786979939	1.6437058320198708e-07	1.9133097756506931e-07	1.605042708868666e-08	2.265264168727666e-11	0.07657344961590573	1.1280020655985552e-07
TCGA-BR-6852-01A-11D-1882-08	1061	0.06081414114864502	1.391095569460842e-10	4.2937977100258314e-11	5.542414283097793e-11	1.4956583473732374e-10	0.6954494455664535	0.0027789663649073174	5.822199175665103e-10	5.34382309292099e-07	0.00416191925596377	2.7189739934246124e-11	3.351932276580149e-09	0.0001581947074217706	4.8076251734682144e-08	0.16617016506771412	2.395236688326847e-10	0.03163285043124139	0.012039596244261288	1.270783440843632e-09	1.0342461999366475e-09	0.018206362300798504	0.0018550511764490428	1.930278777110616e-12	0.006732704818506265	1.4484820765916438e-09	5.483015601867397e-09	7.2942122125672e-11	2.6136643303660507e-10	3.7282359918297505e-09	2.5701717544563443e-09
TCGA-BR-4183-01A-02D-1126-08	60	0.7536543999618013	1.2256545707781525e-11	1.7073951466227628e-10	9.414856083519917e-15	2.1266636936597297e-10	1.8126013158422207e-09	0.023855934665032837	1.0790017728259913e-11	3.293448864218961e-11	0.005013024244340964	0.0013338545697843952	1.388008523937243e-10	8.092090676711316e-12	3.9261486911571904e-10	2.1782014673807695e-15	3.567610879196708e-11	0.06255202842348472	0.037315022717662016	3.609202666478556e-12	3.1807354129109196e-11	1.1357535887556157e-10	1.459889084651498e-10	1.1525613971953991e-11	0.00685257984837679	5.173925705768101e-12	1.789054974990336e-10	6.703621278454847e-12	0.051057489655701074	6.803672622783658e-10	0.05836566190897545
