Sample Name	Number of Mutations	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-BR-8296-01A-11D-2340-08	89	0.763331018596243	0.017852483474540624	0.026873581307527726	6.86733285703529e-09	3.7033133239563694e-10	2.1967824545958837e-10	3.123781346108494e-12	4.812662517790169e-12	2.1387370134969778e-11	2.9070534857681114e-10	2.3995545312665368e-11	4.027676591650979e-11	0.13352980280122728	5.275094075229211e-10	1.5869741468544394e-10	5.0869600733860354e-11	3.3062119580679487e-11	8.300336676109861e-12	5.980226224500476e-11	3.7743126976319234e-10	3.724432682322878e-11	1.033902956728612e-10	2.6636207487925825e-15	0.03781824223812678	4.041911136171627e-11	7.063288815796747e-16	0.020594837253089453	3.7949853582579236e-15	2.5083105213750992e-08	7.762862601253997e-12
TCGA-HU-A4H6-01A-11D-A25D-08	138	0.7816792912988986	4.829238400607369e-10	6.402482258480709e-12	8.719983477895935e-10	6.848424478923211e-11	3.2039338442894717e-11	7.03786000296429e-11	2.6914722058560215e-11	4.798975394404545e-09	4.73625269459082e-11	6.364264549573158e-08	1.5890022074225588e-10	0.01144298756697878	1.4917508511222004e-12	5.325359136284137e-11	1.4692396015446489e-13	0.08142452667935444	3.2989759168916313e-12	4.13886757003249e-10	8.628170214825136e-10	7.193022721474905e-11	5.973430831410019e-11	6.0949251331918325e-09	0.06488304893231825	8.214351018637192e-11	4.3088962505155774e-11	2.3351241689322407e-12	0.007511454318382476	4.406119296421292e-11	0.05305861326392885
TCGA-BR-8369-01A-11D-2340-08	225	0.4966013354716821	1.0937063215559659e-10	0.007537254517318842	3.73905778623509e-09	3.496465277115013e-09	0.045136764941958105	0.009667717318090251	4.104993690869701e-10	0.062480027252133516	9.242149828220402e-11	6.287212793223278e-11	3.5476880551121606e-11	0.015358548434297436	2.2883442671586297e-08	3.871885151246481e-10	1.0173589436650089e-08	0.25888483012525515	8.012526390581723e-10	8.396801042550517e-11	0.025482985567472426	1.88404622807081e-10	1.8873582229610824e-10	0.006164011671982703	0.06910641667363704	4.894767776615948e-10	1.583213867211866e-10	0.003580058561085927	4.4963045383382737e-10	1.7413945151026046e-09	3.973518049187048e-09
TCGA-BR-8295-01A-11D-2340-08	57	0.3251101890989693	1.0962223501481993e-08	0.31513020872983516	6.954595054711725e-08	1.338385788545085e-06	5.646149337548634e-06	1.2651126311556657e-07	3.387683974309722e-07	5.9150687418052e-12	3.314247836423495e-07	1.0941534660288258e-07	2.7123878218882653e-07	0.06066819442173755	2.8868568784494436e-09	0.06651377028324311	2.7629430233331354e-07	0.22498904637572076	1.0717359430549096e-07	4.146600979176198e-08	2.647818084026633e-08	8.585581512799178e-09	4.429740031414498e-08	5.013603520420425e-09	5.549191643073505e-08	0.007561063558288427	1.750677250873184e-08	4.623424744031396e-08	1.854901481564863e-05	1.0467466801063862e-07	6.468019861616066e-12
TCGA-BR-4255-01A-01D-1126-08	65	0.5939984416903078	9.58917029920344e-14	3.605333827549686e-10	1.8095176524133445e-10	2.037472723584103e-09	1.3842211068346373e-12	0.08970853742283055	2.777413461753296e-10	8.268357448649729e-15	0.016263350587878825	0.01285691550750121	6.965673732216102e-13	2.0415479880185615e-10	1.4204853565081867e-11	1.454978691309518e-09	0.06295164821726446	0.017996200119546554	2.0037456042468249e-10	2.8186663658496154e-12	5.541273644053605e-11	1.9278227845339035e-09	0.030257154700973385	1.632548794507325e-10	3.887329909986433e-11	1.2497191729956194e-11	0.17596774408705537	8.715279198785501e-11	1.0441225564700944e-11	2.7809417313617644e-11	6.079616195478468e-10
TCGA-CG-4466-01A-01D-1158-08	223	0.4011094029874865	1.2026806433881626e-10	0.04209870730259572	0.03345147962362876	1.484601217358068e-09	3.5960301616224824e-09	0.011057132693187827	5.45407249214395e-10	0.018801191426742733	1.069111548208861e-12	0.01240577809237415	1.5208861354988143e-10	0.03642971881939914	1.1431149371229708e-08	8.236495449624875e-10	2.2676144969379168e-12	0.43403112410487416	1.1420814813478745e-10	6.157533378434536e-10	5.364672467681196e-10	0.010615400584265758	7.828094628004884e-11	2.019379189979984e-09	3.2893023894107345e-08	1.2819540552628202e-11	2.1561008961590624e-10	1.1785704343508462e-10	2.611029016609886e-10	4.98318005490301e-10	8.846093881073347e-09
TCGA-CD-A4MH-01A-11D-A25D-08	96	0.5507780488733606	0.04820172193074845	0.06725284850482598	3.280885753702381e-09	1.8981478370881403e-08	1.0039128685586156e-13	1.162777712549165e-10	1.1452500613018365e-09	5.961629898554696e-12	4.8662371313734286e-11	5.007398260614933e-12	6.334154206098205e-11	0.017203378234660855	4.3112539117281444e-10	0.1690652842895244	0.020106007737039154	4.4455031329882835e-11	0.04101754840977539	2.7157834639367673e-10	1.214063680667324e-10	3.379276893353962e-10	0.028653336296381685	0.05772135234415431	3.4878241852177533e-07	9.945208944051097e-08	6.364843212488407e-11	7.158819309691803e-11	1.5168912400429995e-11	6.992049490706154e-11	7.123706883166218e-11
TCGA-BR-7716-01A-21D-2053-08	179	0.07158572593014316	0.18068247884644098	0.053147227390482575	0.0045023401322430105	0.048378567657688026	0.1120032123180786	2.3343270303993536e-09	6.871827576610007e-10	5.630630201074777e-10	0.05034856295890206	0.012750750188396175	1.0049625653246827e-10	0.16857073914650714	3.610248164248536e-11	1.4292664696050047e-10	4.797422333591837e-07	0.06687055364318313	0.05846085230642685	1.8546135979962725e-12	0.06389356789186351	1.3783155002336397e-09	0.04793585879015032	2.6067559506512548e-09	0.05605138952903108	1.622004050544909e-09	6.620350556891503e-10	4.143672023082842e-14	2.7891811345567772e-08	0.004817504607144048	1.5089416984115687e-07
TCGA-BR-8485-01A-11D-2394-08	358	0.09958403072228408	5.203360343483542e-10	0.09449297369956623	1.6733984894422528e-11	3.15917697392494e-10	3.086396877912139e-11	5.01068489444499e-10	1.4497380030666455e-09	0.048181380051778175	2.0237479331075251e-10	4.171255385664876e-08	6.251325738476486e-09	0.012444881392854023	3.542726285756131e-11	3.4396503435967547e-10	2.443689047600439e-09	0.6603959217697003	7.022584609122546e-10	1.7638960686081077e-10	1.1327529187321161e-12	0.04984005515439052	7.589561673449855e-09	0.01813801342512773	3.326266447118965e-09	5.734934638193813e-11	5.336487590006979e-10	8.282983336974392e-11	2.0825836962998326e-10	0.016922677261281348	2.132843888334646e-11
TCGA-CG-5730-01A-11D-1600-08	179	0.6234211464916983	0.12474168161690677	0.03469500406992411	1.1596979046931595e-09	3.596169645811077e-10	9.611751664651789e-10	0.07249627209509955	1.8582470513166436e-09	2.111711068802772e-11	0.006586412873488325	7.238088910561025e-10	3.6921391267812395e-10	0.019873916674331134	1.8452217149191996e-10	0.06458724135882461	2.6214299133717237e-15	4.301472164604121e-11	0.02054257416207565	3.1115552313849886e-09	5.7892965675462666e-11	2.7375236397967804e-12	0.020954731998815236	8.181214968000678e-09	0.004665594635060193	3.2191167647293075e-09	1.4172611287292101e-11	0.007435403671930393	1.0859931376841178e-13	1.3243888283876074e-11	7.138662110342696e-11
