Sample Name	Number of Mutations	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-B7-5816-01A-21D-1600-08	1284	0.0936296274935352	2.0512831721248898e-12	1.2863891848009807e-09	1.0084573273060762e-09	7.655650155137909e-11	0.6951546456957552	1.1741530054425003e-08	5.439928343419115e-09	3.115701770692888e-10	1.6398970674510385e-08	6.03969613341256e-10	3.5629797819390436e-09	1.5237507603095555e-12	3.7800590097561085e-09	6.111157852649333e-10	6.416185208483214e-09	0.023946222202083547	0.004110400157439517	8.744338757643817e-09	0.0005966569183584886	0.10292421533536751	6.740069320061329e-09	4.611680129442056e-10	0.0010552807134098382	6.6457604057577025e-09	0.07791539501448591	0.000664429957055984	8.058591840285761e-11	3.052505155335538e-06	9.414414237757089e-11
TCGA-BR-4184-01A-01D-1126-08	3892	0.01855195242549194	1.3511058805545313e-11	1.6998248996624212e-12	2.0404089316169522e-13	7.571694821866777e-14	0.19117579656334036	2.955541808416939e-11	3.0126803932872075e-12	1.1669322438003108e-12	1.0065026870526915e-10	1.3440579343112422e-11	7.69424088240851e-13	5.455030690096744e-12	2.1969172182187383e-10	0.7902722500709867	2.379364313390684e-13	4.362060974802016e-12	3.439978041150842e-13	2.2009973204911383e-12	7.781575173684153e-12	2.2336372063498408e-10	6.773748849731416e-12	2.692538442011634e-10	2.08877940725624e-15	2.6491127829563237e-13	1.2532176720390053e-11	1.1772136493468537e-11	6.501354470217147e-12	3.810817388963625e-12	1.7470955159613901e-12
TCGA-BR-4201-01A-01D-1126-08	1376	0.2660161226970483	1.0387768494825149e-10	2.6049139348879525e-11	4.123821146958789e-11	3.789606487130878e-10	0.6957424873741016	1.0655255301857549e-09	8.751943323032625e-12	1.2757317813369267e-10	1.32416231306902e-10	8.841368817475795e-10	6.072511985546238e-10	1.0831408450293672e-11	2.6080588406192034e-10	5.073247312898244e-09	1.0036835298110695e-10	1.0208645594884978e-11	4.5724396672249356e-10	2.093970320152626e-09	7.198446017355031e-10	0.038241369979395715	9.092434108545041e-14	2.0174450666679709e-10	5.0490064464213255e-12	1.6883392668362518e-10	6.98200102605473e-09	1.8776304991438897e-12	4.3646752211497996e-11	4.6561142112902255e-11	3.973481251495003e-10
TCGA-BR-4256-01A-01D-1126-08	1032	0.12940008223192	0.009058737631926057	0.003624502013617072	4.2006944192834075e-11	1.4109616998032223e-10	0.6892641192196112	6.2315133894537e-08	1.9066983650604967e-10	2.253028651122587e-11	1.6957052258515698e-15	4.7008222560449555e-09	8.279948159941105e-10	1.0011458002882591e-09	2.0425809613655368e-08	2.4013148767383483e-08	8.218119884489293e-10	0.047255983904519475	8.915318313819156e-11	3.842328379357009e-09	5.4051917384786114e-08	0.050083083703833124	0.004652942737297291	8.414284983494713e-10	2.9053558636795315e-09	7.606414232213322e-13	0.06600959513883635	0.0006507761140190594	8.741108640714822e-12	8.068298496318225e-10	2.5573346026012164e-10
TCGA-BR-4257-01A-01D-1126-08	1131	0.19489801719732971	1.767522672646328e-12	1.381911632248428e-10	3.8658709346212885e-10	8.373386131395186e-10	0.5975809036669146	3.971537295669728e-11	2.0096460708001972e-13	0.006704712457683056	0.007502633800622327	9.058788178324404e-11	1.1240774080164816e-07	6.003071292241594e-11	4.171894734523996e-09	2.0081972574709312e-10	2.4344063555074474e-10	0.012546585580774525	9.068650677259134e-11	3.973486179005771e-10	0.07528462671665913	0.06280581044267429	9.916204642028266e-12	6.202930588861378e-11	2.051503965427073e-11	1.9487049226695314e-11	0.042676590598399684	1.097521985152639e-10	6.055940083474509e-11	3.639648789253292e-11	1.5393684484018232e-10
TCGA-BR-4280-01A-01D-1126-08	709	2.2057976369766003e-08	8.791715684346664e-10	0.0035746163543368846	2.8075500601164747e-10	1.313808838922194e-08	0.6010931024550544	2.6193917324775093e-13	2.4638734247622637e-09	4.689196143408326e-13	5.801697289415655e-11	4.704294026548324e-13	1.5068133271086915e-10	8.691509725710603e-11	5.941669790135209e-11	0.10089804564809254	4.3277611442596436e-09	0.07244909368233018	1.0852786024331745e-09	6.118036599994758e-10	0.1017586129504828	3.362709400052665e-10	7.301735151305134e-10	8.276632481908046e-11	4.367792768561354e-11	1.8439052727390527e-10	0.12022648197103984	3.85699282825879e-15	2.5617421102804312e-11	2.468333316807873e-10	8.798972272009189e-11
TCGA-BR-4292-01A-01D-1126-08	1415	0.46482938502390436	6.223603437959245e-12	7.496820370549744e-11	1.4946898622183273e-10	2.963418356590163e-10	0.5336891037325379	1.3263136297560918e-11	2.1304536659015767e-10	6.49523518146746e-11	1.8209875872462352e-10	1.5117053223158132e-13	2.6050180909696643e-12	2.06173122414503e-12	1.379824285314256e-09	4.360164389528818e-10	6.764116467002557e-12	4.3005550282084003e-10	3.9834039661272467e-10	3.863224943960121e-11	9.435105256700331e-11	1.1481933421651605e-09	6.755217527600508e-09	3.382889059849771e-13	1.887289093978269e-12	1.9085523622884388e-10	5.105559536548824e-10	0.001481498694843182	7.429855769579332e-12	1.8563790791885273e-11	1.265088781105405e-10
TCGA-BR-4361-01A-01D-1158-08	2713	0.05635919407152103	0.004798179270417091	1.0004965026222872e-10	7.791423098359531e-10	1.7972431357182166e-09	0.48189750948237425	5.419445209474793e-08	8.416786209390112e-11	7.378674450481682e-09	6.435166287510244e-07	0.008692749661744464	9.545337690640594e-09	0.00029626280152210844	3.936351781383636e-09	1.8619901573302673e-09	3.627691774019946e-11	2.3384139111360465e-11	9.259864714067258e-11	3.80258371187405e-09	3.1310928184523512e-09	0.4113481584280143	0.0013862819553615434	8.41085004440066e-08	8.589007360402602e-10	0.002900240599207502	0.032320597050464916	5.420164998810197e-09	4.6454914257232027e-10	6.343140747059388e-10	4.912969272710611e-09
TCGA-BR-4362-01A-01D-1158-08	1546	0.2555244326014081	6.896626675282864e-15	2.0237061667649706e-11	1.5186946200436963e-10	3.380921772660563e-10	0.5650617433363532	4.174255744344347e-11	2.823902661641042e-10	4.110222594405449e-10	1.4501819964996882e-12	2.0163024679802688e-11	2.1185385118584156e-10	8.335343952734182e-11	1.3863825387487367e-10	4.077910960987733e-10	1.509145849701092e-10	0.0766658615323176	3.0378395866674736e-10	1.1422599051606428e-13	1.694787920431413e-09	0.09888319606169484	0.0023803449615028235	5.4870089930769694e-11	8.441228824955232e-13	2.0792396992482784e-10	2.0645602647505566e-11	0.0014844164811046844	2.1599921296229768e-10	2.2413706693376536e-10	4.298767918810505e-11
TCGA-BR-4363-01A-01D-1158-08	556	0.17477314618926923	8.601012792039898e-11	5.689813997635999e-10	6.617396755011918e-11	2.7536008727091187e-09	0.7502714497600624	4.1230201639977616e-11	1.8808584204381438e-12	2.2344509248335995e-09	4.3521744524381957e-10	1.6805739174513616e-12	3.611113442494814e-08	5.901346437317458e-11	4.3893687381488275e-10	3.347162329386028e-10	3.609279996772228e-11	0.005430949691579508	9.022533773384155e-11	4.1010607035009997e-10	2.568963878945184e-10	0.01777373663391461	1.1538388317396168e-09	8.852806288056832e-11	4.541976988270668e-11	1.413693402229385e-09	0.04857635274711236	2.8588485720058215e-13	0.0031743178300268995	3.798184268616122e-10	1.4010251061892805e-10
TCGA-BR-4368-01A-01D-1158-08	1319	0.2526597912326422	8.139078160459043e-11	2.4631349283395984e-11	9.186604561327346e-11	2.8616981363849975e-10	0.6996285431764595	1.773401795861262e-08	1.5439040293390487e-11	1.7120184876038205e-10	1.1823280704226138e-11	4.1290718518365865e-10	1.249346527363969e-12	0.0018352127470954746	1.194333350030625e-10	1.3903481107969202e-08	1.0853382070032297e-09	1.0136957853143315e-11	3.155244924811279e-10	2.6279002990003854e-10	5.36487495120667e-10	0.044518529766584596	0.0013578870204297567	7.557257199048422e-11	2.266628571246213e-11	2.4460454016821502e-11	1.2828791053280644e-10	5.961907248056044e-11	1.6683758712349796e-10	3.900082460157033e-12	5.115561926927492e-10
TCGA-BR-4370-01A-01D-1158-08	1116	0.4975278607864246	1.2604383715801386e-13	6.888950794728398e-11	2.4432047850965463e-11	6.72449478365176e-11	0.5024721347910397	2.1934912504464602e-11	3.2738492190197303e-12	3.026033882211057e-12	1.9797459017181636e-09	2.066385172511319e-11	7.040257921318974e-12	6.320771903383654e-12	2.0911633683512173e-10	1.9021466418056498e-10	2.4021244513084145e-11	4.844405596411988e-11	5.417662629197203e-12	6.72379223065775e-12	7.728804119210315e-10	8.794717378236311e-12	9.124075851390694e-11	3.0776828272233184e-12	3.7296365780545953e-10	1.0531009597177391e-11	1.9497864970625717e-10	1.8528086170467008e-10	3.25067250654929e-11	6.3644755313283e-11	7.601969275715201e-16
TCGA-BR-6452-01A-12D-1800-08	6364	0.03317170650542227	0.0048737632907028105	3.006162514412658e-10	4.0525135364844505e-10	3.3884843712551744e-10	0.1912666309930648	0.015570099566430254	2.4884037574426105e-08	0.01252295132435046	4.095116287995642e-10	2.8051605342976135e-06	7.497793046871183e-07	1.3268522354949576e-11	2.9305289555322787e-08	0.24302207070711115	1.6641644776421356e-08	0.01002936985594938	9.341940712192288e-11	6.407904261292632e-07	0.10919233104184083	0.3438119366758182	6.896909180854394e-07	0.0004402691883769676	1.014491565451073e-10	0.03343968341662901	4.01248678687036e-08	0.0026541178990343475	1.5886802121848374e-09	1.510123244001311e-09	6.83970782067923e-08
TCGA-BR-6566-01A-11D-1800-08	936	0.04725700725849162	5.731671133737465e-12	0.016506221604418364	8.155813816307752e-11	9.24927353341879e-10	0.7973169375756136	0.0028550434342227565	1.0691599300077214e-11	5.866156464226934e-10	0.001612530079496982	1.0259001679646254e-09	1.268480807001036e-13	3.888280606503595e-10	0.0007075756465706965	1.5113822973615728e-07	1.703954649151473e-11	0.03131091142587995	1.304223871599159e-09	2.298712727963003e-09	2.680924735539916e-07	0.08813726059118497	4.147418912312393e-11	1.0213041903031136e-11	4.138488454466421e-13	3.0546108518701946e-11	0.013809894321751882	0.0004861889739741615	1.4004476020650468e-09	1.0527907876035869e-09	6.774502705920313e-10
TCGA-BR-6802-01A-11D-1882-08	477	0.06167428606791579	8.339281314426907e-11	9.200100564036842e-12	2.4838224683966586e-10	2.521083749286326e-10	0.5644504391610417	2.4146127182840253e-09	3.808256688771235e-11	4.82058313004228e-12	4.2824438407612456e-10	1.3910426991055461e-11	7.884775787932878e-11	0.002864775621290357	3.9797811879503856e-10	0.3533246449237875	5.378511187764723e-10	0.010074260221883359	5.026952234862493e-13	3.1567424494462713e-10	8.864898373638391e-12	0.0076115885371666825	2.198593892989712e-12	3.9168630589083546e-11	3.170635016863135e-11	2.4325451166288622e-11	2.776211194329256e-10	3.413221290477711e-11	2.505447979616096e-12	2.1716885161182125e-10	5.614934939269552e-12
